,pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,Grade
349,6.8,45,0,1,1,1,255,0
350,6.5,38,1,0,0,0,255,2
351,4.7,38,1,0,1,0,255,1
352,3,40,1,1,1,1,255,1
353,9,43,1,0,1,1,250,1
354,6.8,40,1,0,1,0,245,2
355,6.6,45,0,1,1,1,250,0
356,6.5,36,0,0,1,0,255,2
357,4.5,38,0,1,1,1,255,1
358,6.8,45,1,1,1,1,245,0
359,6.5,35,1,0,1,0,246,2
360,6.8,36,0,1,1,0,253,0
361,8.5,70,0,0,0,0,246,1
362,6.8,34,0,0,0,1,240,2
363,6.5,37,0,0,0,0,245,2
364,6.6,37,1,0,1,0,255,0
365,6.8,45,0,1,0,0,240,2
366,7.4,65,0,0,0,0,255,1
367,6.8,41,0,0,1,0,255,2
368,6.5,38,1,1,1,1,255,0
369,6.6,38,0,0,0,0,255,2
370,3,40,1,0,0,0,255,1
371,9,43,1,1,1,1,248,1
372,6.5,38,1,0,1,0,255,2
373,6.7,38,1,0,1,0,255,0
374,3,40,1,1,1,1,255,1
375,6.6,43,1,0,1,1,250,0
376,8.6,55,0,1,1,1,255,1
377,6.8,45,0,0,0,1,255,2
378,6.8,45,0,1,1,1,255,0
379,6.5,38,1,0,0,0,255,2
380,6.6,38,1,0,1,0,255,0
381,3,40,1,1,1,1,255,1
382,9,43,1,0,1,1,250,1
383,6.8,40,1,0,1,0,245,2
384,6.6,45,0,0,0,1,250,2
385,6.5,36,0,0,1,0,255,2
386,6.8,45,0,1,1,1,255,0
387,6.5,38,1,0,0,0,255,2
388,4.7,38,1,0,1,0,255,1
389,3,40,1,1,1,1,255,1
390,9,43,1,0,1,1,250,1
391,6.8,40,1,0,1,0,245,2
392,6.6,45,0,1,1,1,250,0
393,6.5,36,0,0,1,0,255,2
394,4.5,38,0,1,1,1,255,1
395,6.8,45,1,1,1,1,245,0
396,6.5,35,1,0,1,0,246,2
397,6.8,36,0,1,1,0,253,0
398,8.5,70,0,0,0,0,246,1
399,6.8,34,0,0,0,1,240,2
400,6.5,37,0,0,0,0,245,2
401,6.6,37,1,0,1,0,255,0
402,6.8,45,0,1,0,0,240,2
403,7.4,65,0,0,0,0,255,1
404,6.8,41,0,0,1,0,255,2
405,6.5,38,1,1,1,1,255,0
406,6.6,38,0,0,0,0,255,2
407,3,40,1,0,0,0,255,1
408,9,43,1,1,1,1,248,1
409,6.8,40,1,1,1,1,255,0
410,6.6,50,0,0,0,1,250,1
411,6.5,36,0,0,0,0,247,2
412,6.6,50,0,0,0,0,255,1
413,6.8,45,1,1,1,0,245,0
414,9.5,34,1,1,0,1,255,1
415,6.5,37,0,0,0,0,255,2
416,9.5,34,1,1,0,1,255,1
417,6.5,37,0,0,0,0,255,2
418,6.6,37,1,1,1,1,255,0
419,5.5,45,1,0,1,1,250,1
420,4.5,60,0,1,1,1,250,1
421,8.1,66,1,0,1,1,255,1
422,6.7,45,1,1,0,0,247,2
423,6.7,45,1,1,1,0,245,2
424,5.6,50,0,1,1,1,255,1
425,6.6,35,0,1,1,1,255,0
426,7.4,90,1,0,1,1,255,1
427,6.8,50,0,0,1,0,255,1
428,6.5,38,1,0,1,0,255,2
429,6.7,38,1,0,1,0,255,0
430,3,40,1,1,1,1,255,1
431,6.6,43,1,0,1,1,250,0
432,8.6,55,0,1,1,1,255,1
433,6.8,45,0,0,0,1,255,2
434,6.8,45,0,1,1,1,255,0
435,6.5,38,1,0,0,0,255,2
436,6.6,38,1,0,1,0,255,0
437,3,40,1,1,1,1,255,1
438,9,43,1,0,1,1,250,1
439,6.8,40,1,0,1,0,245,2
440,6.6,45,0,0,0,1,250,2
441,6.5,36,0,0,1,0,255,2
442,6.6,38,0,0,1,0,255,2
443,6.8,45,1,1,1,1,245,0
444,6.5,55,1,0,1,0,246,1
445,6.8,36,0,1,1,0,253,0
446,8.5,70,0,0,0,0,246,1
447,6.8,40,1,0,1,0,245,2
448,6.6,45,0,1,1,1,250,0
449,6.5,36,0,0,1,0,255,2
450,4.5,38,0,1,1,1,255,1
451,6.8,45,1,1,1,1,245,0
452,6.5,35,1,0,1,0,246,2
453,6.8,36,0,1,1,0,253,0
454,8.5,70,0,0,0,0,246,1
455,6.6,50,0,0,0,0,255,1
456,6.8,45,1,1,1,0,245,0
457,9.5,34,1,1,0,1,255,1
458,6.5,37,0,0,0,0,255,2
459,9.5,34,1,1,0,1,255,1
460,6.5,37,0,0,0,0,255,2
461,6.6,37,1,1,1,1,255,0
462,5.5,45,1,0,1,1,250,1
463,4.5,60,0,1,1,1,250,1
464,8.1,66,1,0,1,1,255,1
465,6.7,45,1,1,0,0,247,2
466,6.7,45,1,1,1,0,245,2
467,5.6,50,0,1,1,1,255,1
468,6.6,35,0,1,1,1,255,0
469,7.4,90,1,0,1,1,255,1
470,6.8,50,0,0,1,0,255,1
471,6.5,38,1,0,1,0,255,2
472,6.7,38,1,0,1,0,255,0
473,3,40,1,1,1,1,255,1
474,6.6,43,1,0,1,1,250,0
475,8.6,55,0,1,1,1,255,1
476,6.8,45,0,0,0,1,255,2
477,6.8,45,0,1,1,1,255,0
478,6.5,38,1,0,0,0,255,2
479,6.6,38,1,0,1,0,255,0
480,3,40,1,1,1,1,255,1
481,9,43,1,0,1,1,250,1
482,6.8,40,1,0,1,0,245,2
483,6.6,45,0,0,0,1,250,2
484,6.5,36,0,0,1,0,255,2
485,6.6,38,0,0,1,0,255,2
486,6.8,45,1,1,1,1,245,0
487,6.5,55,1,0,1,0,246,1
488,6.8,36,0,1,1,0,253,0
489,8.5,70,0,0,0,0,246,1
490,6.8,40,1,0,1,0,245,2
491,6.6,45,0,1,1,1,250,0
492,6.5,36,0,0,1,0,255,2
493,4.5,38,0,1,1,1,255,1
494,6.8,45,1,1,1,1,245,0
495,6.5,35,1,0,1,0,246,2
496,6.8,36,0,1,1,0,253,0
497,8.5,70,0,0,0,0,246,1
498,6.8,34,0,0,0,1,240,2
499,6.5,37,0,0,0,0,245,2
500,6.6,37,1,0,1,0,255,0
501,6.8,45,0,1,0,0,240,2
502,7.4,65,0,0,0,0,255,1
503,6.8,41,0,0,1,0,255,2
504,6.5,38,1,1,1,1,255,0
505,6.6,38,0,0,0,0,255,2
506,3,40,1,0,0,0,255,1
507,9,43,1,1,1,1,248,1
508,6.8,40,1,1,1,1,255,0
509,6.6,50,0,0,0,1,250,1
510,6.5,36,0,0,0,0,247,2
511,6.6,50,0,0,0,0,255,1
512,6.8,45,1,1,1,0,245,0
513,9.5,34,1,1,0,1,255,1
514,6.5,37,0,0,0,0,255,2
515,9.5,34,1,1,0,1,255,1
516,6.5,37,0,0,0,0,255,2
517,6.6,37,1,1,1,1,255,0
518,5.5,45,1,0,1,1,250,1
519,4.5,60,0,1,1,1,250,1
520,8.1,66,1,0,1,1,255,1
521,6.7,45,1,1,0,0,247,2
522,6.7,45,1,1,1,0,245,2
523,5.6,50,0,1,1,1,255,1
524,6.6,35,0,1,1,1,255,0
525,7.4,90,1,0,1,1,255,1
526,6.8,50,0,0,1,0,255,1
527,6.5,38,1,0,1,0,255,2
528,6.7,41,1,0,0,0,247,2
529,6.7,50,1,1,1,0,245,1
530,6.8,45,0,1,1,1,255,0
531,6.6,45,0,1,0,0,255,2
532,7.4,65,0,0,0,0,255,1
533,6.8,41,0,0,0,0,255,2
534,6.5,38,1,1,1,1,255,0
535,6.8,38,0,0,0,0,255,2
536,3,40,1,0,0,0,255,1
537,9,43,1,1,1,1,248,1
538,6.8,40,1,1,1,1,255,0
539,6.6,50,0,0,0,1,250,1
540,6.5,36,0,0,0,0,247,2
541,6.6,38,0,0,0,0,255,2
542,6.8,45,1,1,1,0,245,0
543,9.5,34,1,1,0,1,255,1
544,6.5,37,0,0,0,0,255,2
545,6.6,37,1,1,1,1,255,0
546,5.5,45,1,0,1,1,250,1
547,6.5,40,1,0,0,0,250,2
548,8.1,66,1,0,1,1,255,1
549,6.7,45,1,1,0,0,247,2
550,6.7,38,1,0,1,0,255,0
551,3,40,1,1,1,1,255,1
552,6.8,43,1,0,1,0,250,0
553,8.6,55,0,1,1,1,255,1
554,6.8,55,0,0,0,1,255,1
555,6.8,45,0,1,1,1,255,0
556,6.5,38,1,0,0,0,255,2
557,4.7,38,1,0,1,0,255,1
558,3,40,1,1,1,1,255,1
559,9,43,1,0,1,1,250,1
560,6.8,40,1,0,1,0,245,2
561,6.6,45,0,1,1,1,250,0
562,6.5,36,0,0,1,0,255,2
563,4.5,38,0,1,1,1,255,1
564,6.8,45,1,1,1,1,245,0
565,6.5,50,1,0,1,0,246,1
566,6.8,36,0,1,1,0,253,0
567,8.5,70,0,0,0,0,246,1
568,6.8,34,0,0,0,1,240,2
569,6.5,37,0,0,0,0,245,2
570,6.6,37,1,0,1,0,255,0
571,6.8,45,0,1,0,0,240,2
572,7.4,65,0,0,0,0,255,1
573,6.8,41,0,0,1,0,255,2
574,6.5,38,1,1,1,1,255,0
575,6.6,38,0,0,0,0,255,2
576,6.6,40,1,0,1,1,255,0
577,9,43,1,1,1,1,248,1
578,6.5,38,1,0,1,0,255,2
579,6.7,38,1,0,1,0,255,0
580,3,40,1,1,1,1,255,1
581,6.6,43,1,0,1,1,250,0
582,6.8,41,0,0,1,0,255,2
583,6.5,38,1,1,1,1,255,0
584,6.6,38,0,0,0,0,255,2
585,3,40,1,0,0,0,255,1
586,9,43,1,1,1,1,248,1
587,6.8,40,1,1,1,1,255,0
588,6.6,50,0,0,0,1,250,1
589,6.5,36,0,0,0,0,247,2
590,6.6,50,0,0,0,0,255,1
591,6.8,45,1,1,1,0,245,0
592,9.5,34,1,1,0,1,255,1
593,6.5,37,0,0,0,0,255,2
594,9.5,34,1,1,0,1,255,1
595,6.5,37,0,0,0,0,255,2
596,6.6,37,1,1,1,1,255,0
597,5.5,45,1,0,1,1,250,1
598,4.5,60,0,1,1,1,250,1
599,8.1,66,1,0,1,1,255,1
600,6.7,45,1,1,0,0,247,2
601,6.7,45,1,1,1,0,245,2
602,5.6,50,0,1,1,1,255,1
603,6.6,35,0,1,1,1,255,0
604,7.4,90,1,0,1,1,255,1
605,6.8,50,0,0,1,0,255,1
606,6.5,38,1,0,1,0,255,2
607,6.7,41,1,0,0,0,247,2
608,6.7,50,1,1,1,0,245,1
609,6.8,45,0,1,1,1,255,0
610,6.6,45,0,1,0,0,255,2
611,7.4,65,0,0,0,0,255,1
612,6.8,41,0,0,0,0,255,2
613,6.5,38,1,1,1,1,255,0
614,6.8,38,0,0,0,0,255,2
615,3,40,1,0,0,0,255,1
616,9,43,1,1,1,1,248,1
617,6.8,40,1,1,1,1,255,0
618,6.6,50,0,0,0,1,250,1
619,6.5,36,0,0,0,0,247,2
620,6.6,38,0,0,0,0,255,2
621,6.8,45,1,1,1,0,245,0
622,9.5,34,1,1,0,1,255,1
623,6.5,37,0,0,0,0,255,2
624,6.6,37,1,1,1,1,255,0
625,5.5,45,1,0,1,1,250,1
626,6.5,40,1,0,0,0,250,2
627,8.1,66,1,0,1,1,255,1
628,6.7,45,1,1,0,0,247,2
629,6.7,38,1,0,1,0,255,0
630,3,40,1,1,1,1,255,1
631,6.8,43,1,0,1,0,250,0
632,8.6,55,0,1,1,1,255,1
633,6.8,55,0,0,0,1,255,1
634,6.8,45,0,1,1,1,255,0
635,6.5,38,1,0,0,0,255,2
636,4.7,38,1,0,1,0,255,1
637,3,40,1,1,1,1,255,1
638,9,43,1,0,1,1,250,1
639,6.8,40,1,0,1,0,245,2
640,6.6,45,0,1,1,1,250,0
641,6.5,36,0,0,1,0,255,2
642,4.5,38,0,1,1,1,255,1
643,6.8,45,1,1,1,1,245,0
644,6.5,50,1,0,1,0,246,1
645,6.8,36,0,1,1,0,253,0
646,8.5,70,0,0,0,0,246,1
647,6.8,34,0,0,0,1,240,2
648,6.5,37,0,0,0,0,245,2
649,6.6,37,1,0,1,0,255,0
650,6.8,45,0,1,0,0,240,2
651,7.4,65,0,0,0,0,255,1
652,6.8,41,0,0,1,0,255,2
653,6.5,38,1,1,1,1,255,0
654,6.6,38,0,0,0,0,255,2
655,6.7,38,1,0,1,0,255,0
656,3,40,1,1,1,1,255,1
657,9,43,1,0,1,1,250,1
658,8.6,55,0,1,1,1,255,1
659,6.8,45,0,0,0,1,255,2
660,6.8,45,0,1,1,1,255,0
661,6.5,38,1,0,0,0,255,2
662,4.7,38,1,0,1,0,255,1
663,3,40,1,1,1,1,255,1
664,9,43,1,0,1,1,250,1
665,6.8,40,1,0,1,0,245,2
666,6.5,37,0,0,0,0,255,2
667,6.6,37,1,1,1,1,255,0
668,5.5,45,1,0,1,1,250,1
669,4.5,60,0,1,1,1,250,1
670,8.1,66,1,0,1,1,255,1
671,6.7,45,1,1,0,0,247,2
672,6.7,45,1,1,1,0,245,2
673,5.6,50,0,1,1,1,255,1
674,8.6,55,0,1,1,1,255,1
675,7.4,90,1,0,1,1,255,1
676,6.8,45,0,0,1,0,255,2
677,6.5,38,1,0,1,0,255,2
678,6.7,38,1,0,1,0,255,0
679,3,40,1,1,1,1,255,1
680,9,43,1,0,1,1,250,1
681,8.6,55,0,1,1,1,255,1
682,6.8,45,0,0,0,1,255,2
683,6.8,45,0,1,1,1,255,0
684,6.5,38,1,0,0,0,255,2
685,4.7,38,1,0,1,0,255,1
686,3,40,1,1,1,1,255,1
687,9,43,1,0,1,1,250,1
688,6.8,40,1,0,1,0,245,2
689,6.6,45,0,1,1,1,250,0
690,6.5,36,0,0,1,0,255,2
691,4.5,38,0,1,1,1,255,1
692,6.8,45,1,1,1,1,245,0
693,6.5,35,1,0,1,0,246,2
694,6.8,36,0,1,1,0,253,0
695,8.5,70,0,0,0,0,246,1
696,6.8,34,0,0,0,1,240,2
697,6.5,37,0,0,0,0,245,2
698,6.6,37,1,0,1,0,255,0
699,6.8,45,0,1,0,0,240,2
700,7.4,65,0,0,0,0,255,1
701,6.8,41,0,0,1,0,255,2
702,6.5,38,1,1,1,1,255,0
703,6.6,38,0,0,0,0,255,2
